Category: All categories

Week,Monster Energy AMA Supercross Championship: (United States),AMA Motocross Championship: (United States)
2018-02-04,53,1
2018-02-11,62,1
2018-02-18,53,1
2018-02-25,51,1
2018-03-04,45,1
2018-03-11,45,1
2018-03-18,39,<1
2018-03-25,28,1
2018-04-01,32,1
2018-04-08,45,1
2018-04-15,43,1
2018-04-22,36,1
2018-04-29,32,2
2018-05-06,24,4
2018-05-13,6,10
2018-05-20,3,9
2018-05-27,4,7
2018-06-03,4,7
2018-06-10,3,8
2018-06-17,4,9
2018-06-24,3,7
2018-07-01,3,8
2018-07-08,4,7
2018-07-15,4,7
2018-07-22,5,8
2018-07-29,4,8
2018-08-05,4,7
2018-08-12,4,7
2018-08-19,5,7
2018-08-26,5,4
2018-09-02,5,1
2018-09-09,5,1
2018-09-16,11,1
2018-09-23,6,1
2018-09-30,7,1
2018-10-07,25,<1
2018-10-14,24,0
2018-10-21,9,1
2018-10-28,8,<1
2018-11-04,8,0
2018-11-11,7,<1
2018-11-18,8,<1
2018-11-25,9,<1
2018-12-02,10,1
2018-12-09,13,<1
2018-12-16,16,1
2018-12-23,23,1
2018-12-30,71,<1
2019-01-06,99,1
2019-01-13,77,1
2019-01-20,80,1
2019-01-27,70,1
2019-02-03,64,1
2019-02-10,51,1
2019-02-17,53,1
2019-02-24,51,1
2019-03-03,47,1
2019-03-10,47,2
2019-03-17,45,1
2019-03-24,69,1
2019-03-31,39,1
2019-04-07,45,1
2019-04-14,26,1
2019-04-21,24,2
2019-04-28,35,2
2019-05-05,33,5
2019-05-12,7,9
2019-05-19,4,10
2019-05-26,4,10
2019-06-02,4,8
2019-06-09,3,7
2019-06-16,3,8
2019-06-23,3,8
2019-06-30,3,7
2019-07-07,6,7
2019-07-14,4,7
2019-07-21,3,10
2019-07-28,4,7
2019-08-04,4,6
2019-08-11,5,7
2019-08-18,5,6
2019-08-25,4,3
2019-09-01,4,1
2019-09-08,4,1
2019-09-15,6,<1
2019-09-22,6,1
2019-09-29,9,1
2019-10-06,9,<1
2019-10-13,13,1
2019-10-20,16,<1
2019-10-27,6,1
2019-11-03,7,1
2019-11-10,8,1
2019-11-17,7,<1
2019-11-24,8,<1
2019-12-01,12,<1
2019-12-08,13,1
2019-12-15,14,1
2019-12-22,21,1
2019-12-29,65,1
2020-01-05,85,1
2020-01-12,61,1
2020-01-19,81,1
2020-01-26,68,1
2020-02-02,57,1
2020-02-09,54,1
2020-02-16,47,1
2020-02-23,51,1
2020-03-01,46,1
2020-03-08,60,1
2020-03-15,15,1
2020-03-22,8,1
2020-03-29,4,1
2020-04-05,5,<1
2020-04-12,4,1
2020-04-19,5,1
2020-04-26,5,1
2020-05-03,5,1
2020-05-10,9,1
2020-05-17,9,1
2020-05-24,17,1
2020-05-31,41,1
2020-06-07,32,1
2020-06-14,29,2
2020-06-21,23,3
2020-06-28,4,4
2020-07-05,3,2
2020-07-12,3,3
2020-07-19,3,3
2020-07-26,3,2
2020-08-02,2,3
2020-08-09,3,8
2020-08-16,3,7
2020-08-23,3,7
2020-08-30,3,7
2020-09-06,3,6
2020-09-13,3,4
2020-09-20,2,5
2020-09-27,3,5
2020-10-04,3,5
2020-10-11,4,3
2020-10-18,4,<1
2020-10-25,6,1
2020-11-01,3,<1
2020-11-08,4,1
2020-11-15,4,1
2020-11-22,4,1
2020-11-29,6,<1
2020-12-06,5,1
2020-12-13,7,1
2020-12-20,7,1
2020-12-27,12,<1
2021-01-03,24,1
2021-01-10,57,1
2021-01-17,85,1
2021-01-24,54,1
2021-01-31,62,1
2021-02-07,44,1
2021-02-14,40,1
2021-02-21,33,<1
2021-02-28,31,<1
2021-03-07,38,<1
2021-03-14,42,1
2021-03-21,25,1
2021-03-28,17,1
2021-04-04,29,1
2021-04-11,45,1
2021-04-18,33,1
2021-04-25,24,1
2021-05-02,18,3
2021-05-09,5,3
2021-05-16,4,4
2021-05-23,3,10
2021-05-30,4,11
2021-06-06,3,5
2021-06-13,4,5
2021-06-20,3,7
2021-06-27,3,5
2021-07-04,3,7
2021-07-11,3,7
2021-07-18,4,6
2021-07-25,4,4
2021-08-01,3,5
2021-08-08,3,5
2021-08-15,3,4
2021-08-22,4,6
2021-08-29,3,5
2021-09-05,3,4
2021-09-12,4,2
2021-09-19,4,1
2021-09-26,5,<1
2021-10-03,6,0
2021-10-10,4,1
2021-10-17,5,<1
